,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt?,DKPt,FDPt,VBD,PosRank,OvRank
97,C.J. Spiller\SpilC.00,BUF,WR,24,16,11,0,0,0,0,0,107,561,5.24,4,54,39,269,6.9,2,119,163,136.5,,30,
98,Santonio Holmes\HolmSa00,NYJ,WR,27,16,16,0,0,0,0,0,3,27,9,0,101,51,654,12.82,8,116,169.1,139.6,,31,
99,Jeremy Maclin\MaclJe00,PHI,WR,23,13,13,0,0,0,0,0,1,1,1,0,96,63,859,13.63,5,116,181.5,146.5,,32,
100,Malcom Floyd\FloyMa00,SDG,WR,30,12,9,0,0,0,0,0,0,0,,0,70,43,856,19.91,5,116,161.6,137.1,,33,
101,Lance Moore\MoorLa00,NOR,WR,28,14,7,0,0,0,0,0,0,0,,0,73,52,627,12.06,8,115,169.7,140.7,,34,
102,Vernon Davis\DaviVe00,SFO,TE,27,16,16,0,0,0,0,0,2,-5,-2.5,0,95,67,792,11.82,6,115,183.2,145.2,17,8,56
103,Michael Crabtree\CrabMi00,SFO,WR,24,15,14,0,0,0,0,0,1,6,6,0,115,72,874,12.14,4,114,189,150,,35,
104,Dustin Keller\KellDu00,NYJ,TE,27,16,12,0,0,0,0,0,0,0,,0,115,65,815,12.54,5,112,179,143,14,9,59
105,Brent Celek\CeleBr00,PHI,TE,26,16,16,0,0,0,0,0,0,0,,0,98,62,811,13.08,5,111,176.1,142.1,14,10,61
106,Plaxico Burress\BurrPl00,NYJ,WR,34,16,13,0,0,0,0,0,0,0,,0,96,45,612,13.6,8,109,157.2,131.7,,37,
107,Eric Decker\DeckEr00,DEN,WR,24,16,13,0,1,0,0,0,1,1,1,0,96,44,612,13.91,8,109,161.8,136.3,,36,
108,Brandon Pettigrew\PettBr00,DET,TE,26,16,16,0,0,0,0,0,0,0,,0,126,83,777,9.36,5,108,193.7,149.2,10,11,65
109,Anquan Boldin\BoldAn00,BAL,WR,31,14,14,0,0,0,0,0,0,0,,0,106,57,887,15.56,3,107,166.2,134.2,,38,
110,Darren McFadden\McFaDa00,OAK,RB,24,7,7,0,0,0,0,0,113,614,5.43,4,23,19,154,8.11,1,107,131.3,115.3,,33,
111,John Skelton\SkelJo00,ARI,QB,23,8,7,151,275,1913,11,14,28,128,4.57,0,0,0,0,,0,107,123.3,115.3,,29,
112,Kevin Kolb\KolbKe00,ARI,QB,27,9,9,146,253,1955,9,8,17,65,3.82,0,0,0,0,,0,107,111.7,104.7,,30,
113,James Jones\JoneJa04,GNB,WR,27,16,0,0,0,0,0,0,0,0,,0,55,38,635,16.71,7,106,146,123.5,,40,
114,Denarius Moore\MoorDe02,OAK,WR,23,13,10,0,0,0,0,0,5,61,12.2,1,76,33,618,18.73,5,106,139.4,119.4,,39,
115,Doug Baldwin\BaldDo00,SEA,WR,23,16,1,0,0,0,0,0,1,-2,-2,0,85,51,788,15.45,4,103,156.6,128.1,,41,
116,Donald Brown\BrowDo00,IND,RB,24,16,2,0,0,0,0,0,134,645,4.81,5,19,16,86,5.38,0,103,122.1,111.1,,34,
117,Nate Burleson\BurlNa00,DET,WR,30,16,11,0,0,0,0,0,11,85,7.73,0,110,73,757,10.37,3,102,177.7,137.7,,42,
118,Ryan Grant\GranRy00,GNB,RB,29,15,14,0,0,0,0,0,134,559,4.17,2,24,19,268,14.11,1,101,124.7,108.2,,35,
119,Sam Bradford\BradSa00,STL,QB,24,10,10,191,357,2164,6,6,18,26,1.44,0,0,0,0,,0,101,105.2,97.2,,31,
120,Miles Austin\AustMi00,DAL,WR,27,10,10,0,0,0,0,0,2,3,1.5,0,73,43,579,13.47,7,100,145.7,120.7,,44,
121,Robert Meachem\MeacRo00,NOR,WR,27,16,8,0,0,0,0,0,4,18,4.5,0,60,40,620,15.5,6,100,142.8,119.8,,46,
122,Titus Young\YounTi00,DET,WR,22,16,9,0,0,0,0,0,2,15,7.5,0,86,48,607,12.65,6,100,150.7,123.2,,43,
123,Deion Branch\BranDe00,NWE,WR,32,15,15,0,0,0,0,0,0,0,,0,90,51,702,13.76,5,100,154.2,125.7,,45,
124,Matt Cassel\CassMa00,KAN,QB,29,9,9,160,269,1713,10,9,25,99,3.96,0,1,1,-4,-4,0,100,110.5,104.5,,32,
125,Early Doucet\DoucEa00,ARI,WR,26,16,6,0,0,0,0,0,0,0,,0,97,54,689,12.76,5,99,155.4,124.9,,48,
126,Jerome Simpson\SimpJe00,CIN,WR,25,16,14,0,0,0,0,0,0,0,,0,105,50,725,14.5,4,99,149.5,121.5,,49,
127,Mike Williams\WillMi04,TAM,WR,24,16,15,0,0,0,0,0,1,3,3,0,124,65,771,11.86,3,99,162.4,125.9,,47,
128,David Nelson\NelsDa01,BUF,WR,25,16,13,0,0,0,0,0,0,0,,0,97,61,658,10.79,5,98,159.8,126.3,,50,
129,Fred Davis\DaviFr01,WAS,TE,25,12,12,0,0,0,0,0,0,0,,0,88,59,796,13.49,3,98,159.1,126.1,,12,
130,Jermaine Gresham*\GresJe00,CIN,TE,23,14,13,0,0,0,0,0,0,0,,0,92,56,596,10.64,6,96,154.1,122.6,,13,
131,Toby Gerhart\GerhTo00,MIN,RB,24,16,5,0,0,0,0,0,109,531,4.87,1,28,23,190,8.26,3,96,124.6,106.6,,36,
132,Kevin Smith\SmitKe02,DET,RB,25,7,4,0,0,0,0,0,72,356,4.94,4,28,22,179,8.14,3,96,123,105.5,,37,
133,Dexter McCluster\McClDe00,KAN,WR,23,16,4,0,0,0,0,0,114,516,4.53,1,64,46,328,7.13,1,96,146.4,115.4,,51,
134,Jared Cook\CookJa02,TEN,TE,24,16,5,0,0,0,0,0,0,0,,0,81,49,759,15.49,3,94,144.9,116.4,,15,
135,Kellen Winslow\WinsKe01,TAM,TE,28,16,15,0,0,0,0,0,0,0,,0,123,75,763,10.17,2,94,169.3,127.8,,14,
136,Steve Breaston\BreaSt00,KAN,WR,28,16,13,0,0,0,0,0,1,25,25,0,98,61,785,12.87,2,93,157,123.5,,52,
137,LaDainian Tomlinson\TomlLa00,NYJ,RB,32,14,1,0,0,0,0,0,75,280,3.73,1,61,42,449,10.69,2,91,138.9,111.9,,38,
138,Peyton Hillis\HillPe00,CLE,RB,25,10,9,0,0,0,0,0,161,587,3.65,3,34,22,130,5.91,0,90,116.7,98.7,,39,
139,Kyle Orton\OrtoKy00,2TM,QB,29,9,8,150,252,1758,9,9,11,13,1.18,0,0,0,0,,0,90,99.6,94.6,,33,
140,Damian Williams\WillDa04,TEN,WR,23,15,13,0,0,0,0,0,0,0,,0,94,45,592,13.16,5,89,137.2,111.7,,53,
141,Greg Olsen\OlseGr00,CAR,TE,26,16,13,0,0,0,0,0,0,0,,0,89,45,540,12,5,86,133.5,107.5,,16,
142,Owen Daniels\DaniOw00,HOU,TE,29,15,15,0,0,0,0,0,0,0,,0,85,54,677,12.54,3,86,142.7,112.7,,17,
143,Jahvid Best\BestJa00,DET,RB,22,6,6,0,0,0,0,0,84,390,4.64,2,40,27,287,10.63,1,86,118.7,99.2,,40,
144,Felix Jones\JoneFe00,DAL,RB,24,12,8,0,0,0,0,0,127,575,4.53,1,45,33,221,6.7,0,86,122.1,97.1,,41,
145,Johnny Knox\KnoxJo00,CHI,WR,25,14,11,0,0,0,0,0,0,0,,0,69,37,727,19.65,2,85,124.2,102.2,,54,
146,James Starks\StarJa00,GNB,RB,25,13,2,0,0,0,0,0,133,578,4.35,1,37,29,216,7.45,0,85,119.4,97.9,,42,
147,Jason Campbell\CampJa00,OAK,QB,30,6,6,100,165,1170,6,4,18,60,3.33,2,0,0,0,,0,85,86.3,81.8,,34,
148,Jake Ballard\BallJa21,NYG,TE,24,14,13,0,0,0,0,0,0,0,,0,61,38,604,15.89,4,84,125.4,103.4,,18,
149,Greg Little\LittGr00,CLE,WR,22,16,12,0,0,0,0,0,3,15,5,0,119,61,709,11.62,2,84,148.4,114.9,,55,
150,Ed Dickson\DickEd00,BAL,TE,24,16,16,0,0,0,0,0,0,0,,0,89,54,528,9.78,5,83,139.8,109.8,,19,
151,Marion Barber\BarbMa01,CHI,RB,28,11,1,0,0,0,0,0,114,422,3.7,6,9,5,50,10,0,83,90.7,84.7,,43,
152,Santana Moss\MossSa00,WAS,WR,32,12,12,0,0,0,0,0,0,0,,0,95,46,584,12.7,4,82,131.4,105.4,,56,
153,Mark Ingram\IngrMa01,NOR,RB,22,10,4,0,0,0,0,0,122,474,3.89,5,13,11,46,4.18,0,82,95.5,86.5,,44,
154,Donald Driver\DrivDo00,GNB,WR,36,16,15,0,0,0,0,0,0,0,,0,56,37,445,12.03,6,81,120.5,99,,57,
155,Demaryius Thomas\ThomDe03,DEN,WR,24,11,5,0,1,0,0,0,1,5,5,0,70,32,551,17.22,4,80,114.6,95.6,,58,
156,Curtis Painter\PainCu00,IND,QB,26,9,8,132,243,1541,6,9,17,107,6.29,0,0,0,0,,0,80,90.8,82.3,,35,
157,Brandon LaFell\LaFeBr00,CAR,WR,25,16,6,0,0,0,0,0,0,0,,0,56,36,613,17.03,3,79,118.3,97.3,,59,
158,Kendall Hunter\HuntKe00,SFO,RB,23,16,1,0,0,0,0,0,112,473,4.22,2,26,16,195,12.19,0,79,100.3,85.8,,45,
