,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
182,Tyler Boyd\BoydTy00,CIN,WR,22,16,2,0,0,0,0,0,4,58,14.5,0,81,54,603,11.17,1,70,128.1,97.1,,69,
183,Seth Roberts\RobeSe00,OAK,WR,25,16,6,0,0,0,0,0,0,0,,0,77,38,397,10.45,5,70,114.7,92.7,,70,
184,Tyler Eifert\EifeTy00,CIN,TE,26,8,2,0,0,0,0,0,0,0,,0,47,29,394,13.59,5,69,101.4,83.9,,24,
185,Robert Woods\WoodRo02,BUF,WR,24,13,10,0,0,0,0,0,1,6,6,0,76,51,613,12.02,1,68,121.9,93.4,,72,
186,Breshad Perriman\PerrBr02,BAL,WR,23,16,1,0,0,0,0,0,1,2,2,0,66,33,499,15.12,3,68,104.1,84.6,,71,
187,DeAndre Washington\WashDe00,OAK,RB,23,14,2,0,0,0,0,0,87,467,5.37,2,23,17,115,6.76,0,68,92.2,76.7,,54,
188,Matt Jones\JoneMa04,WAS,RB,23,7,7,0,0,0,0,0,99,460,4.65,3,8,8,73,9.13,0,67,80.3,71.3,,55,
189,Phillip Dorsett\DorsPh00,IND,WR,23,15,7,0,0,0,0,0,2,10,5,0,59,33,528,16,2,66,101.8,82.3,,73,
190,Charcandrick West\WestCh01,KAN,RB,25,15,2,0,0,0,0,0,88,293,3.33,1,34,28,188,6.71,2,66,100.1,80.1,,56,
191,Jeremy Maclin\MaclJe00,KAN,WR,28,12,12,0,1,0,0,0,1,-1,-1,0,76,44,536,12.18,2,66,112.5,87.5,,75,
192,Robert Griffin\GrifRo01,CLE,QB,26,5,5,87,147,886,2,3,31,190,6.13,2,0,0,0,,0,66,76.4,69.4,,35,
193,Allen Hurns\HurnAl01,JAX,WR,25,11,11,0,0,0,0,0,0,0,,0,76,35,477,13.63,3,66,103.7,83.2,,74,
194,John Brown\BrowJo02,ARI,WR,26,15,6,0,0,0,0,0,1,10,10,0,73,39,517,13.26,2,65,106.7,84.2,,76,
195,Tajae Sharpe\SharTa00,TEN,WR,22,16,10,0,0,0,0,0,1,1,1,0,83,41,522,12.73,2,64,108.3,84.8,,77,
196,Malcolm Mitchell\MitcMa01,NWE,WR,24,14,6,0,0,0,0,0,0,0,,0,48,32,401,12.53,4,64,99.1,80.1,,78,
197,Vance McDonald\McDoVa00,SFO,TE,26,11,11,0,0,0,0,0,0,0,,0,45,24,391,16.29,4,63,90.1,75.1,,25,
198,Thomas Rawls\RawlTh00,SEA,RB,23,9,7,0,0,0,0,0,109,349,3.2,3,17,13,96,7.38,0,63,78.5,69,,57,
199,Victor Cruz\CruzVi00,NYG,WR,30,15,12,0,0,0,0,0,0,0,,0,72,39,586,15.03,1,63,105.6,82.1,,79,
200,Paul Perkins\PerkPa00,NYG,RB,22,14,1,0,0,0,0,0,112,456,4.07,0,24,15,162,10.8,0,62,82.8,69.3,,58,
201,Cordarrelle Patterson\PattCo00,MIN,WR,25,16,8,0,0,0,0,0,7,43,6.14,0,70,52,453,8.71,2,62,122.6,93.6,,80,
202,Kendall Wright\WrigKe01,TEN,WR,27,11,4,0,0,0,0,0,1,15,15,0,42,29,416,14.34,3,61,93.1,75.6,,83,
203,Devin Funchess\FuncDe00,CAR,WR,22,15,7,0,0,0,0,0,0,0,,0,58,23,371,16.13,4,61,89.1,74.6,,82,
204,Marquise Goodwin\GoodMa00,BUF,WR,26,15,9,0,0,0,0,0,0,0,,0,68,29,431,14.86,3,61,93.1,75.6,,81,
205,Lance Kendricks\KendLa00,LAR,TE,28,16,16,0,0,0,0,0,0,0,,0,87,50,499,9.98,2,60,113.9,84.9,,26,
206,Corey Coleman\ColeCo00,CLE,WR,22,10,10,0,0,0,0,0,2,10,5,0,73,33,413,12.52,3,60,96.3,76.8,,84,
207,Rex Burkhead\BurkRe00,CIN,RB,26,16,1,0,0,0,0,0,74,344,4.65,2,20,17,145,8.53,0,59,82.9,67.4,,59,
208,Jermaine Kearse\KearJe01,SEA,WR,26,16,15,0,0,0,0,0,0,0,,0,89,41,511,12.46,1,57,101.1,77.6,,85,
209,Sammie Coates\CoatSa00,PIT,WR,23,14,5,0,0,0,0,0,4,14,3.5,0,49,21,435,20.71,2,57,80.9,67.4,,86,
210,Matt Moore\MoorMa01,MIA,QB,32,5,3,55,87,721,8,3,1,-1,-1,0,0,0,0,,0,55,60.7,57.7,,36,
211,Sammy Watkins\WatkSa00,BUF,WR,23,8,8,0,0,0,0,0,0,0,,0,52,28,430,15.36,2,55,86,69,,87,
212,Travaris Cadet\CadeTr00,NOR,RB,27,15,1,0,0,0,0,0,4,19,4.75,0,54,40,281,7.03,4,54,97,74,,61,
213,Ryan Griffin\GrifRy00,HOU,TE,26,16,5,0,0,0,0,0,0,0,,0,74,50,442,8.84,2,54,108.2,79.2,,27,
214,Jeremy Langford\LangJe00,CHI,RB,25,12,3,0,0,0,0,0,62,200,3.23,4,27,19,142,7.47,0,54,81.2,63.7,,60,
215,Clive Walford\WalfCl00,OAK,TE,25,15,8,0,0,0,0,0,0,0,,0,52,33,359,10.88,3,54,89.9,70.4,,28,
216,Chris Conley\ConlCh00,KAN,WR,24,16,11,0,0,0,0,0,0,0,,0,69,44,530,12.05,0,53,100,75,,88,
217,Jared Goff\GoffJa00,LAR,QB,22,8,7,112,205,1089,5,7,8,16,2,1,0,0,0,,0,53,65.2,60.2,,37,
218,Julius Thomas\ThomJu00,JAX,TE,28,9,6,0,0,0,0,0,0,0,,0,51,30,281,9.37,4,52,85.1,67.1,,29,
219,Jesse James\JameJe00,PIT,TE,22,16,13,0,0,0,0,0,0,0,,0,60,39,338,8.67,3,52,93.8,71.3,,30,
220,Jermaine Gresham\GresJe00,ARI,TE,28,16,14,0,0,0,0,0,0,0,,0,61,37,391,10.57,2,51,91.1,69.6,,31,
221,Dorial Green-Beckham\GreeDo00,PHI,WR,23,15,7,0,0,0,0,0,0,0,,0,74,36,392,10.89,2,51,90.2,69.2,,89,
222,Albert Wilson\WilsAl02,KAN,WR,24,16,5,0,0,0,0,0,2,50,25,1,51,31,279,9,2,51,84.9,66.4,,90,
223,Garrett Celek\CeleGa00,SFO,TE,28,16,6,0,0,0,0,0,0,0,,0,50,29,350,12.07,3,51,84,65.5,,32,
224,Josh McCown\McCoJo01,CLE,QB,37,5,3,90,165,1100,6,6,7,21,3,0,0,0,0,,0,50,63.1,56.1,,38,
225,Alfred Blue\BlueAl00,HOU,RB,25,14,2,0,0,0,0,0,100,420,4.2,1,16,12,40,3.33,0,50,66,56,,62,
226,Dion Sims\SimsDi00,MIA,TE,25,14,11,0,0,0,0,0,0,0,,0,35,26,256,9.85,4,50,78.6,62.6,,33,
227,Nelson Agholor\AghoNe00,PHI,WR,23,15,14,0,0,0,0,0,5,14,2.8,0,69,36,365,10.14,2,50,90.9,69.9,,92,
228,Andrew Hawkins\HawkAn00,CLE,WR,30,16,5,0,0,0,0,0,2,0,0,0,54,33,324,9.82,3,50,86.4,66.9,,91,
229,Eddie Royal\RoyaEd00,CHI,WR,30,9,1,0,0,0,0,0,0,0,,0,43,33,369,11.18,2,49,90.9,71.4,,93,
230,Jay Cutler\CutlJa00,CHI,QB,33,5,5,81,137,1059,4,5,5,24,4.8,0,0,0,0,,0,47,56.8,51.8,,39,
231,Russell Shepard\ShepRu00,TAM,WR,26,14,4,0,0,0,0,0,1,9,9,0,40,23,341,14.83,2,47,73,58.5,,94,
232,Fozzy Whittaker\WhitFo00,CAR,RB,27,16,0,0,0,0,0,0,57,265,4.65,0,33,25,226,9.04,0,47,79.1,59.6,,63,
233,Danny Amendola\AmenDa00,NWE,WR,31,12,4,0,0,0,0,0,0,0,,0,29,23,243,10.57,4,46,73.3,57.8,,95,
234,Will Tye\TyexWi00,NYG,TE,25,16,10,0,0,0,0,0,0,0,,0,70,48,395,8.23,1,46,96.5,69.5,,34,
235,Brandon Coleman\ColeBr00,NOR,WR,24,16,4,0,0,0,0,0,0,0,,0,38,26,281,10.81,3,46,75.1,59.1,,96,
236,Torrey Smith\SmitTo02,SFO,WR,27,12,12,0,0,0,0,0,0,0,,0,49,20,267,13.35,3,45,67.7,54.7,,97,
237,Jamize Olawale\OlawJa00,OAK,RB,27,16,7,0,0,0,0,0,17,47,2.76,2,14,12,227,18.92,1,45,60.4,51.4,,64,
238,Austin Hooper\HoopAu00,ATL,TE,22,14,3,0,0,0,0,0,0,0,,0,27,19,271,14.26,3,45,67.1,54.6,,35,
239,C.J. Prosise\ProsC.00,SEA,RB,22,6,2,0,0,0,0,0,30,172,5.73,1,19,17,208,12.24,0,44,67,52.5,,65,
240,Justin Hardy\HardJu00,ATL,WR,25,16,3,0,0,0,0,0,0,0,,0,31,21,203,9.67,4,44,68.3,54.8,,99,
241,Aldrick Robinson\RobiAl00,ATL,WR,28,16,1,0,0,0,0,0,0,0,,0,32,20,323,16.15,2,44,67.3,54.3,,98,
242,Charles Sims\SimsCh00,TAM,RB,26,7,2,0,0,0,0,0,51,149,2.92,1,32,24,190,7.92,1,44,74.9,55.9,,66,
243,Justin Hunter\HuntJu00,2TM,WR,25,13,5,0,0,0,0,0,0,0,,0,23,10,189,18.9,4,43,55.9,47.9,,100,
244,Jared Cook\CookJa02,GNB,TE,29,10,5,0,0,0,0,0,0,0,,0,51,30,377,12.57,1,42,75.7,56.7,,36,
245,Justin Forsett\ForsJu00,3TM,RB,31,9,6,0,0,0,0,0,87,291,3.34,1,27,20,85,4.25,0,42,65.6,51.6,,67,
246,Wendell Smallwood\SmalWe00,PHI,RB,22,13,3,0,0,0,0,0,77,312,4.05,1,13,6,55,9.17,0,41,56.7,49.7,,68,
247,John Kuhn\KuhnJo00,NOR,RB,34,16,3,0,0,0,0,0,18,37,2.06,4,20,16,70,4.38,1,41,56.7,48.7,,69,
248,Quinton Patton\PattQu00,SFO,WR,26,14,14,0,0,0,0,0,0,0,,0,63,37,408,11.03,0,41,80.8,59.3,,101,
249,Brice Butler\ButlBr00,DAL,WR,26,16,3,0,0,0,0,0,0,0,,0,32,16,219,13.69,3,40,58.9,47.9,,102,
250,James Starks\StarJa00,GNB,RB,30,9,4,0,0,0,0,0,63,145,2.3,0,25,19,134,7.05,2,40,64.9,49.4,,70,
251,Dwayne Washington\WashDw00,DET,RB,22,12,2,0,0,0,0,0,90,265,2.94,1,15,10,62,6.2,0,39,51.7,43.7,,72,
252,Kamar Aiken\AikeKa00,BAL,WR,27,16,6,0,0,0,0,0,0,0,,0,50,29,328,11.31,1,39,70.8,53.3,,103,
253,Trey Burton\BurtTr01,PHI,TE,25,15,4,0,0,0,0,0,0,0,,0,60,37,327,8.84,1,39,78.7,57.2,,39,
254,Eddie Lacy\LacyEd00,GNB,RB,26,5,5,0,0,0,0,0,71,360,5.07,0,7,4,28,7,0,39,45.8,40.8,,71,
255,Jacob Tamme\TammJa00,ATL,TE,31,8,5,0,0,0,0,0,0,0,,0,31,22,210,9.55,3,39,64,50,,38,
256,Richard Rodgers\RodgRi00,GNB,TE,24,16,6,0,0,0,0,0,0,0,,0,47,30,271,9.03,2,39,72.1,54.1,,37,
257,Aaron Ripkowski\RipkAa00,GNB,RB,24,16,8,0,0,0,0,0,34,150,4.41,2,10,9,46,5.11,1,38,49.6,42.1,,74,
258,Levine Toilolo\ToilLe00,ATL,TE,25,16,11,0,0,0,0,0,0,0,,0,19,13,264,20.31,2,38,54.4,44.9,,40,
259,Dion Lewis\LewiDi00,NWE,RB,26,7,5,0,0,0,0,0,64,283,4.42,0,24,17,94,5.53,0,38,57.7,46.2,,73,
260,Josh Bellamy\BellJo02,CHI,WR,27,16,2,0,0,0,0,0,4,37,9.25,0,38,19,282,14.84,1,38,59.9,47.4,,104,
261,Alfred Morris\MorrAl00,DAL,RB,28,14,0,0,0,0,0,0,69,243,3.52,2,6,3,11,3.67,0,37,43.4,38.9,,75,
262,Erik Swoope\SwooEr00,IND,TE,24,16,4,0,0,0,0,0,0,0,,0,22,15,297,19.8,1,36,53.7,43.2,,42,
263,Ladarius Green\GreeLa00,PIT,TE,26,6,2,0,0,0,0,0,0,0,,0,34,18,304,16.89,1,36,57.4,45.4,,41,
264,Kyle Juszczyk\JuszKy00,BAL,RB,25,16,7,0,0,0,0,0,5,22,4.4,1,49,37,266,7.19,0,35,76.8,55.3,,76,
265,Kenyan Drake\DrakKe00,MIA,RB,22,16,1,0,0,0,0,0,33,179,5.42,2,10,9,46,5.11,0,35,52.5,45,,77,
266,Paul Richardson\RichPa01,SEA,WR,24,15,0,0,0,0,0,0,1,5,5,0,36,21,288,13.71,1,35,59.3,45.8,,107,
267,Jimmy Garoppolo\GaroJi00,NWE,QB,25,6,2,43,63,502,4,0,10,6,0.6,0,1,1,3,3,0,35,40,35.5,,40,
268,Deonte Thompson\ThomDe04,CHI,WR,27,16,6,0,0,0,0,0,0,0,,0,36,22,249,11.32,2,35,60.9,45.9,,108,
269,Cobi Hamilton\HamiCo00,PIT,WR,26,11,8,0,0,0,0,0,0,0,,0,28,17,234,13.76,2,35,55.4,43.9,,105,
270,Darrius Heyward-Bey\HeywDa00,PIT,WR,29,10,0,0,0,0,0,0,1,60,60,1,19,6,114,19,2,35,44.4,38.4,,106,
271,Landry Jones\JoneLa02,PIT,QB,27,8,2,53,86,558,4,2,6,-4,-0.67,0,0,0,0,,0,34,38.9,35.9,,41,
272,Bryan Walters\WaltBr00,JAX,WR,29,10,3,0,0,0,0,0,1,4,4,0,34,24,231,9.63,2,34,61.5,45.5,,109,
273,Corey Brown\BrowPh00,CAR,WR,25,16,8,0,0,0,0,0,2,6,3,0,53,27,276,10.22,1,32,63.2,45.7,,111,
274,Corey Grant\GranCo00,JAX,RB,25,11,1,0,0,0,0,0,32,164,5.13,1,7,4,35,8.75,1,32,38.9,33.9,,78,
275,Geronimo Allison\AlliGe01,GNB,WR,22,10,2,0,0,0,0,0,0,0,,0,22,12,202,16.83,2,32,47.2,38.2,,110,
276,Peyton Barber\BarbPe01,TAM,RB,22,15,1,0,0,0,0,0,55,223,4.05,1,6,5,28,5.6,0,31,39.1,33.6,,79,
277,Andre Holmes\HolmAn00,OAK,WR,28,16,2,0,0,0,0,0,0,0,,0,25,14,126,9,3,31,47.6,37.6,,115,
278,Eric Decker\DeckEr00,NYJ,WR,29,3,3,0,0,0,0,0,0,0,,0,21,9,194,21.56,2,31,43.4,35.9,,112,
279,Rod Streater\StreRo00,SFO,WR,28,16,2,0,0,0,0,0,0,0,,0,27,18,191,10.61,2,31,52.1,40.1,,113,
280,Jordan Taylor\TaylJo01,DEN,WR,24,16,0,0,0,0,0,0,0,0,,0,25,16,209,13.06,2,31,50.9,38.9,,114,
281,Virgil Green\GreeVi00,DEN,TE,28,12,11,0,0,0,0,0,0,0,,0,37,22,237,10.77,1,30,54.7,40.7,,43,
282,Bryce Petty\PettBr01,NYJ,QB,25,6,4,75,133,809,3,7,5,19,3.8,0,0,0,0,,0,30,43.3,39.3,,42,
283,Kenjon Barner\BarnKe00,PHI,RB,27,13,0,0,0,0,0,0,27,129,4.78,2,11,5,42,8.4,0,29,37.1,31.6,,80,
284,C.J. Uzomah\UzomC.00,CIN,TE,23,10,8,0,0,0,0,0,0,0,,0,38,25,234,9.36,1,29,57.4,41.9,,44,
285,Kerwynn Williams\WillKe05,ARI,RB,25,10,0,0,0,0,0,0,18,157,8.72,2,2,1,6,6,0,28,32.3,28.8,,81,
286,Nick Foles\FoleNi00,KAN,QB,27,3,1,36,55,410,3,0,4,-4,-1,0,0,0,0,,0,28,31,28,,45,
287,Jacoby Brissett\BrisJa00,NWE,QB,24,3,2,34,55,400,0,0,16,83,5.19,1,0,0,0,,0,28,32.3,28.3,,44,
288,Cameron Artis-Payne\ArtiCa00,CAR,RB,26,3,3,0,0,0,0,0,36,144,4,2,1,1,11,11,0,28,31.5,28,,82,
289,Tanner McEvoy\McEvTa01,SEA,WR,23,14,0,1,1,43,0,0,0,0,,0,11,9,140,15.56,2,28,39.7,32.2,,116,
290,Paxton Lynch\LyncPa00,DEN,QB,22,3,2,49,83,497,2,1,11,25,2.27,0,0,0,0,,0,28,32.4,29.4,,43,
291,Shane Vereen\VereSh00,NYG,RB,27,5,1,0,0,0,0,0,33,158,4.79,1,19,11,94,8.55,0,27,43.2,32.7,,84,
292,DuJuan Harris\HarrDu01,SFO,RB,28,10,1,0,0,0,0,0,38,138,3.63,0,9,8,115,14.38,1,27,43.3,31.3,,83,
293,Bennie Fowler\FowlBe00,DEN,WR,25,13,0,0,0,0,0,0,0,0,,0,24,11,145,13.18,2,27,40.5,32,,118,
294,Chester Rogers\RogeCh02,IND,WR,22,14,2,0,0,0,0,0,0,0,,0,34,19,273,14.37,0,27,49.3,36.8,,117,
295,Kapri Bibbs\BibbKa00,DEN,RB,23,12,0,0,0,0,0,0,29,129,4.45,0,4,2,75,37.5,1,26,31.4,27.4,,85,
296,Luke Willson\WillLu00,SEA,TE,26,11,6,0,0,0,0,0,0,0,,0,21,15,129,8.6,2,25,42.9,32.4,,46,
297,Seth Devalve\DevaSe00,CLE,TE,23,12,2,0,0,0,0,0,0,0,,0,12,10,127,12.7,2,25,37.7,29.7,,47,
298,Mychal Rivera\RiveMy00,OAK,TE,26,13,2,0,0,0,0,0,0,0,,0,25,18,192,10.67,1,25,46.2,34.2,,45,
299,Alex Collins\CollAl00,SEA,RB,22,11,0,0,0,0,0,0,31,125,4.03,1,11,11,84,7.64,0,25,39.9,30.4,,86,
300,Mike Tolbert\TolbMi00,CAR,RB,31,16,2,0,0,0,0,0,35,114,3.26,0,15,10,72,7.2,1,25,37.6,29.6,,87,
301,Jaron Brown\BrowJa03,ARI,WR,26,7,2,0,0,0,0,0,0,0,,0,22,11,187,17,1,25,38.7,30.2,,120,
302,Jeff Janis\JaniJe00,GNB,WR,25,16,1,0,0,0,0,0,2,38,19,1,19,11,93,8.45,1,25,36.1,30.6,,119,
303,Orleans Darkwa\DarkOr00,NYG,RB,24,10,2,0,0,0,0,0,30,111,3.7,2,4,2,12,6,0,24,29.3,25.3,,88,
304,Kenneth Farrow\FarrKe02,SDG,RB,23,13,2,0,0,0,0,0,60,192,3.2,0,16,13,70,5.38,0,24,41.2,30.7,,89,
305,Jalin Marshall\MarsJa01,NYJ,WR,21,10,1,0,0,0,0,0,0,0,,0,23,14,162,11.57,2,24,43.2,31.2,,121,
306,Xavier Grimble\GrimXa00,PIT,TE,24,12,2,0,0,0,0,0,0,0,,0,21,11,118,10.73,2,24,37.8,29.3,,48,
307,Charles Johnson\JohnCh08,MIN,WR,27,16,7,0,0,0,0,0,0,0,,0,37,20,232,11.6,0,23,46.2,33.2,,122,
308,Andre Roberts\RobeAn00,DET,WR,28,16,1,0,0,0,0,0,0,0,,0,25,14,188,13.43,1,23,52.8,41.8,,124,
309,Marcedes Lewis\LewiMa00,JAX,TE,32,10,10,0,0,0,0,0,0,0,,0,30,20,169,8.45,1,23,45.9,32.9,,49,
310,Jordan Norwood\NorwJo00,DEN,WR,30,14,6,0,0,0,0,0,1,0,0,0,35,21,232,11.05,1,23,50.2,33.7,,123,
311,Ameer Abdullah\AbduAm00,DET,RB,23,2,2,0,0,0,0,0,18,101,5.61,0,5,5,57,11.4,1,22,29.8,24.3,,91,
312,Ronnie Hillman\HillRo00,2TM,RB,25,8,1,0,0,0,0,0,41,131,3.2,0,15,7,93,13.29,0,22,32.4,25.9,,90,
313,Ben Koyack\KoyaBe00,JAX,TE,23,14,7,0,0,0,0,0,0,0,,0,24,19,161,8.47,1,22,44.1,31.6,,50,
314,Roger Lewis\LewiRo03,NYG,WR,23,13,1,0,0,0,0,0,0,0,,0,19,7,97,13.86,2,22,28.7,25.2,,126,
315,Marquess Wilson\WilsMa02,CHI,WR,24,3,1,0,0,0,0,0,0,0,,0,16,9,160,17.78,1,22,34,26.5,,125,
316,Darren Fells\FellDa01,ARI,TE,30,14,7,0,0,0,0,0,0,0,,0,18,14,154,11,1,21,38.4,28.4,,51,
317,Josh Hill\HillJo02,NOR,TE,26,9,8,0,0,0,0,0,0,0,,0,22,15,149,9.93,1,21,38.9,28.4,,53,
318,Austin Seferian-Jenkins\SefeAu00,2TM,TE,24,9,2,0,0,0,0,0,0,0,,0,20,13,154,11.85,1,21,37.4,27.9,,52,
319,Ricardo Louis\LouiRi00,CLE,WR,22,16,3,0,0,0,0,0,0,0,,0,35,18,205,11.39,0,21,41.5,29.5,,128,
320,Lance Dunbar\DunbLa00,DAL,RB,26,13,0,0,0,0,0,0,9,31,3.44,1,24,16,122,7.63,0,21,40.3,29.3,,92,
321,Andre Johnson\JohnAn02,TEN,WR,35,8,3,0,0,0,0,0,0,0,,0,22,9,85,9.44,2,21,29.5,25,,129,
322,Harry Douglas\DougHa00,TEN,WR,32,11,2,0,0,0,0,0,0,0,,0,22,15,210,14,0,21,39,28.5,,127,
323,Danny Woodhead\WoodDa02,SDG,RB,31,2,1,0,0,0,0,0,19,116,6.11,0,8,6,35,5.83,1,21,30.1,24.1,,93,
324,Darren Waller\WallDa01,BAL,TE,24,12,3,0,0,0,0,0,0,0,,0,17,10,85,8.5,2,21,30.5,25.5,,54,
325,Jonathan Grimes\GrimJo01,HOU,RB,27,10,0,0,0,0,0,0,23,105,4.57,0,18,13,94,7.23,0,20,35.9,26.4,,94,
326,Kevin White\WhitKe00,CHI,WR,24,4,4,0,0,0,0,0,1,9,9,0,36,19,187,9.84,0,20,41.6,29.1,,132,
327,Cody Core\CoreCo00,CIN,WR,22,8,4,0,0,0,0,0,0,0,,0,27,17,200,11.76,0,20,40,28.5,,131,
328,Bobby Rainey\RainBo00,NYG,RB,29,15,0,0,0,0,0,0,17,63,3.71,0,25,20,153,7.65,0,20,43.6,29.6,,95,
329,Freddie Martino\MartFr00,TAM,WR,25,13,0,0,0,0,0,0,0,0,,0,11,8,142,17.75,1,20,31.2,24.2,,130,
330,Anthony Fasano\FasaAn00,TEN,TE,32,16,9,0,0,0,0,0,0,0,,0,13,8,83,10.38,2,20,28.3,24.3,,55,
331,Charone Peake\PeakCh00,NYJ,WR,24,15,1,0,0,0,0,0,0,0,,0,35,19,186,9.79,0,19,46.6,34.1,,134,
332,Benny Cunningham\CunnBe01,LAR,RB,26,11,0,0,0,0,0,0,21,101,4.81,0,21,16,91,5.69,0,19,38.2,27.2,,96,
333,Ed Dickson\DickEd00,CAR,TE,29,16,8,0,0,0,0,0,0,0,,0,19,10,134,13.4,1,19,32.4,24.4,,56,
334,Josh Huff\HuffJo00,2TM,WR,25,10,2,0,1,0,0,0,4,15,3.75,0,23,16,113,7.06,1,19,43.8,32.8,,133,
335,Daniel Brown\BrowDa04,2TM,TE,24,8,3,0,0,0,0,0,0,0,,0,20,16,124,7.75,1,18,37.4,26.4,,57,
336,Jerell Adams\AdamJe01,NYG,TE,24,13,2,0,0,0,0,0,0,0,,0,21,16,122,7.63,1,18,37.2,26.2,,59,
337,Tom Savage\SavaTo00,HOU,QB,26,3,2,46,73,461,0,0,6,12,2,0,0,0,0,,0,18,21.6,17.6,,46,
338,Arrelious Benn\BennAr00,JAX,WR,28,15,0,0,0,0,0,0,0,0,,0,10,5,116,23.2,1,18,25.6,20.1,,135,
339,Ka'Deem Carey\CareKa00,CHI,RB,24,12,0,0,0,0,0,0,32,126,3.94,0,7,5,55,11,0,18,26.1,20.6,,97,
340,Demetrius Harris\HarrDe03,KAN,TE,25,16,11,0,0,0,0,0,0,0,,0,31,17,123,7.24,1,18,46.3,34.8,,58,
341,Andre Ellington\ElliAn00,ARI,RB,27,16,0,0,0,0,0,0,34,96,2.82,0,19,12,85,7.08,0,18,30.1,24.1,,98,
342,Brandon Tate\TateBr00,BUF,WR,29,15,1,0,0,0,0,0,3,48,16,0,12,8,117,14.63,0,17,27.5,20.5,,137,
343,MarQueis Gray\GrayMa00,MIA,TE,27,16,7,0,0,0,0,0,0,0,,0,17,14,174,12.43,0,17,34.4,24.4,,60,
344,Vincent Jackson\JackVi00,TAM,WR,33,5,5,0,0,0,0,0,0,0,,0,32,15,173,11.53,0,17,35.3,24.8,,136,
345,Denard Robinson\RobiDe00,JAX,RB,26,13,1,0,0,0,0,0,41,144,3.51,0,5,3,22,7.33,0,17,22.6,18.1,,99,
346,Kevin Hogan\HogaKe00,CLE,QB,24,4,0,14,26,104,0,2,8,105,13.13,1,0,0,0,,0,17,21.7,18.7,,47,
347,Chris Johnson\JohnCh04,ARI,RB,31,4,0,0,0,0,0,0,25,95,3.8,1,1,0,0,,0,16,15.5,15.5,,102,
348,Terron Ward\WardTe00,ATL,RB,24,5,0,0,0,0,0,0,31,151,4.87,0,2,1,11,11,0,16,20.2,16.7,,100,
349,Josh Ferguson\FergJo02,IND,RB,23,16,0,0,0,0,0,0,15,20,1.33,0,26,20,136,6.8,0,16,38.6,25.6,,101,
350,Matt Cassel\CassMa00,TEN,QB,34,4,1,30,51,284,2,2,4,3,0.75,0,0,0,0,,0,16,17.7,17.7,,48,
351,Braxton Miller\MillBr03,HOU,WR,24,10,6,0,0,0,0,0,3,0,0,0,28,15,99,6.6,1,16,30.9,23.4,,138,
352,Brent Celek\CeleBr00,PHI,TE,31,16,8,0,0,0,0,0,0,0,,0,19,14,155,11.07,0,16,32.5,22.5,,61,
353,Greg Salas\SalaGr00,BUF,WR,28,2,1,0,0,0,0,0,0,0,,0,6,4,89,22.25,1,15,18.9,16.9,,140,
354,Cecil Shorts\ShorCe00,TAM,WR,29,9,5,0,0,0,0,0,0,0,,0,27,11,152,13.82,0,15,29.2,20.7,,139,
355,Reggie Bush\BushRe00,BUF,RB,31,13,0,0,0,0,0,0,12,-3,-0.25,1,10,7,90,12.86,0,15,23.7,20.2,,103,
356,Tyler Higbee\HigbTy00,LAR,TE,23,16,6,0,0,0,0,0,0,0,,0,29,11,85,7.73,1,15,25.5,20,,63,
357,Stephen Anderson\AndeSt01,HOU,TE,23,13,0,0,0,0,0,0,0,0,,0,16,11,93,8.45,1,15,26.3,20.8,,62,
358,Derek Anderson\AndeDe00,CAR,QB,33,5,2,36,53,453,2,5,1,4,4,0,0,0,0,,0,15,23.5,19.5,,49,
359,Walt Powell\PoweWa00,BUF,WR,25,9,2,0,0,0,0,0,0,0,,0,25,14,142,10.14,0,14,31.2,21.2,,141,
360,Jeff Heuerman\HeueJe00,DEN,TE,24,12,2,0,0,0,0,0,0,0,,0,17,9,141,15.67,0,14,26.1,18.6,,64,
361,Mack Brown\BrowMa02,WAS,RB,25,9,0,0,0,0,0,0,8,82,10.25,1,1,1,-2,-2,0,14,15,14.5,,104,
362,Andy Janovich\JanoAn00,DEN,RB,23,11,5,0,0,0,0,0,4,33,8.25,1,7,5,44,8.8,0,14,18.7,16.2,,106,
363,Akeem Hunt\HuntAk01,HOU,RB,23,8,0,0,0,0,0,0,20,109,5.45,0,4,3,29,9.67,0,14,19.8,15.3,,105,
364,A.J. Derby\DerbA.00,2TM,TE,25,10,3,0,0,0,0,0,0,0,,0,20,16,160,10,0,14,34,22,,65,
365,C.J. Spiller\SpilC.00,2TM,RB,29,6,0,0,0,0,0,0,6,18,3,0,13,6,50,8.33,1,13,18.8,15.8,,108,
366,Arian Foster\FostAr00,MIA,RB,30,4,2,0,0,0,0,0,22,55,2.5,0,10,6,78,13,0,13,19.3,16.3,,107,
367,Chris Harper\HarpCh01,SFO,WR,23,9,2,0,0,0,0,0,0,0,,0,21,13,133,10.23,0,13,29.3,19.8,,142,
368,Jarius Wright\WrigJa02,MIN,WR,27,7,1,0,0,0,0,0,0,0,,0,14,11,67,6.09,1,13,23.7,18.2,,144,
369,Paul Turner\TurnPa01,PHI,WR,23,4,2,0,0,0,0,0,0,0,,0,14,9,126,14,0,13,24.6,17.1,,145,
